category,title,context,group,url,contact
全院共用服務-綜合業務,網頁空間服務,中研院網頁空間服務提供靜態網頁空間，同時服務網址預設為*.project.sinica.edu.tw。如有靜態網頁服務需求，可至本處網頁的「下載專區」下載「網頁空間服務申請單」，提出網頁空間服務帳號申請，並自行進行網頁上傳。如有動態網站需求，建議可使用中研院自有雲服務，詳細使用方式與說明請參考https://its.sinica.edu.tw/pages/2366。,資訊,https://its.sinica.edu.tw/pages/2366,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,Google Workspace服務,"為強化本院資訊系統韌性，本院導入Google Workspace雲端服務，功能包含了Gmail、雲端硬碟、文件、試算表、簡報等。
(1)本服務的帳號登入帳號為：[SSO帳號@as.edu.tw]
(2)快速登入網址服務如下：
Mail：https://mail.sinica.edu.tw
Drive：https://drive.sinica.edu.tw
Calendar：https://calendar.sinica.edu.tw
(3)需綁定FIDO驗證才能登入。
(4)離職或退休後，均無法使用本服務。
詳細說明：https://its.sinica.edu.tw/pages/4532",資訊,https://its.sinica.edu.tw/pages/4532,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,Google Workspace服務,"Google Workspace (GWS)全院導入公告
為提供更優質的操作介面與使用體驗,院內將自 114 年 3 月 20 日起,逐步導入 Google Workspace (GWS)。此次變更將影響電子郵件與雲端儲存,請特別留意以下事項:
1. Google Gmail 及 Google Drive 取代現有系統本次導入 GWS 後,將進行以下變更:
● Google Gmail 取代 個人 Gate 電子郵件系統。
● Google Drive 取代 Myspace 個人雲端儲存服務。
● 同時提供 Google Meet、Google Docs、Google Sheets 等協作工具,以提升工作效率。
2. 新增外部雲端服務專用帳號
為了區別院內行政服務與外部雲端應用,本次導入 以 SSO 帳號搭配 @as.edu.tw 網域的專用帳號,此做法符合國際學研機構的使用方式。
3. 電子郵件地址變更與存取方式
● E-mail 位址不變:您的 SSO 帳號仍對應 SSO@gate.sinica.edu.tw,不影響收信功能。
● 提供簡短版的 E-mail 位址:
● 除原有信箱外,新增 SSO@sinica.edu.tw 及 SSO@as.edu.tw 作為別名。
● 寄至上述任何一個地址的郵件,皆可在您的信箱存取。
4. 登入方式(提供兩種登入管道)
1. 透過「中研院入口網」或 https://mail.sinica.edu.tw 登入
○ 使用您的 SSO 帳號,並透過 FIDO 驗證 登入。
2. 透過 Google 雲端服務 https://www.google.com 登入
○ 登入帳號為 SSO@as.edu.tw,並依照網頁指示完成登入驗證。
○ 未來所有外部雲端服務均使用此帳號登入。
5. Google Gmail 與 Google Drive 儲存空間
● 每位使用者將享有 50GB 合併儲存空間(包含 Gmail + Google Drive)。
6. Myspace 服務即將終止
● Myspace 服務將於全院完成 GWS 導入後停止。
● 請自行下載並保存 Myspace 檔案,以確保資料不遺失。
● 未來,如需儲存與分享檔案,請使用 Google Drive。
7. 帳號切換與郵件移轉
● 帳號切換時間:各單位於導入當日前一晚 18:00 起進行切換作業。
● 切換後影響:
○ 所有新郵件將改寄至 Google Gmail,Gate 系統將不再提供收信服務。
○ 原存放於 Gate 電子郵件系統的舊信件,需由本人移轉至 Google Gmail。

8. 其他提醒事項
● 詳細操作手冊:
○ 我們已準備完整指南,包含 帳號登入、信件設定與轉移、Outlook 設定、Google Drive 使用 等,請參閱 操作手冊 以順利完成轉換。詳細說明：https://its.sinica.edu.tw/pages/4532

● 業務帳號不受影響:
○ 本次導入不包含業務帳號,業務帳號仍繼續使用 Gate 電子郵件系統。",資訊,https://its.sinica.edu.tw/pages/4532,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,個人雲端儲存服務,"為提供更友善、現代化的雲端硬碟與線上共同編輯服務，本處將推廣本院 「Google 雲端硬碟(以下簡稱Google Drive）」服務，全面取代原「個人雲端儲存服務(Myspace)」。
Google Drive 提供雲端儲存、檔案同步與線上協作等功能，可快速上傳與分享各類文件，並能設定檢視或編輯權限，方便跨裝置存取與團隊合作。
原個人雲端儲存(Myspace)將於 115 年 1 月 31 日完成下線，屆時將不再提供存取。
請同仁儘早將既有資料備份並轉移至Google Drive ，以防止資料遺失。
感謝您的配合與支持。


個人雲端儲存服務(Myspace)轉移說明：

一、Myspace資料備份方式

    1.如已安裝ArkEase Pro Cloud Sync同步工具

      請開啟工具後，確認已勾選同步所有目錄。完成同步後，移除ArkEase Pro Cloud Sync即可。
      檔案會保留於原設定位置，不會被刪除。

    2.如未安裝ArkEase Pro Cloud Sync同步工具
      
      建議登入https://myspace.sinica.edu.tw後，自Web界面下載檔案保存。

二、如有使用Myspace資料分享功能

    1.新的分享需求，請改以Google Drive分享

    2.舊的分享設定，如服務下線後仍有需求，請於服務下線前，逐步改用Google Drive分享。

    Google Drive分享設定方式，請參考Google官方說明文件 
    https://support.google.com/drive/answer/2494822",資訊,https://its.sinica.edu.tw/pages/1683,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,網域名稱服務(DNS),網域名稱服務(DNS)提供中研院所管轄之網域名稱及IP位址、字串等資料的對應；另因中研院部分研究所、中心有自行管理DNS網域名稱，故請先向各個研究所、中心的資訊室查詢確認後，再提出申請。詳細申請方式及說明請參考https://its.sinica.edu.tw/pages/1689。,資訊,https://its.sinica.edu.tw/pages/1689,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,自有雲服務,"自有雲服務目的為整合資訊服務處資訊設施，減少各單位自行建置與維護資訊設備的成本，提升整體資訊資源運用效率，並促進節能減碳；使用單位可快速建立、調整或消除虛擬機（virtual machine, VM），運用於研究或行政業務。申請方式由各所、研究中心資訊室代表提出申請。

申請單位需指派一位負責人，具主機管理能力。若負責人更換，應知會資訊服務處。服務內容及相關規範請詳見說明網站https://its.sinica.edu.tw/pages/1690。",資訊,https://its.sinica.edu.tw/pages/1690,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,eduroam 驗證服務,"Eduroam無線網路係為建立國際教育及科研機構間無線區域網路漫遊體系的計畫，以推動全球教育及科研單位之間的無線區域網路服務共享。中研院同仁申請eduroam帳號後，即可在有參與無線網路漫遊之院外學術研究單位連線上網，帳號為員工SSO帳號@eduroam.sinica.edu.tw。申請方式請至「中研院入口網」系統(https://sso.sinica.edu.tw/) 點選右下角all 點選個人服務類別之Eduroam帳號後設定密碼即可。

參與無線網路漫遊單位，國內參與單位請詳「TANet無線網路漫遊交換中心https://roamingcenter.tanet.edu.tw/」；國外參與單位請詳https://www.eduroam.org。使用本服務於中研院外連網時，對應之無線網路訊號，請洽當地資訊單位，並遵守當地無線網路之使用規範。本項服務係與中研院外單位合作，如無法連線，其原因可能與院外當地設施、當地網路傳輸狀況及驗證單位有關。",資訊,https://its.sinica.edu.tw/pages/1691,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,院區無線網路,"中研院資訊服務處提供之無線網路有三類(SSID)，供同仁與訪客使用，分別是AS_Secure員工無線網路、eduroam教育無線網路漫遊及AS_Guest訪客無線網路。資訊服務處負責建置公共空間、院本部、人文館等區域的無線網路，而各單位建置的無線網路也可以加入中研院院區無線網路。

中研院的無線網路覆蓋範圍包括室內公共空間(如人文館國際會議廳、活動中心、各單位公共會議室)、中研院院本部、人文館、加入中研院院區無線網路的單位(如資訊所、基因體中心等)及室外公共空間。欲了解如何設定無線網路及訊號涵蓋範圍，請參考https://its.sinica.edu.tw/pages/1684。",資訊,https://its.sinica.edu.tw/pages/1684,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,會議網路,如需租用中研院人文館、活動中心或蔡元培館會議室的會議網路服務，請填寫會議網路服務申請表，並在會議前三個月至一週前提交申請表至資訊服務處。會議網路使用場地之單位若為中研院院本部主辦之會議免收費；中研院所處中心需要付費使用，比照院內公用儀器設施使用，費用將減收50%。另，若使用常設無線網路服務AS_Secure、AS_Guest及eduroam則免申請及收費，詳細說明請參考https://its.sinica.edu.tw/pages/1684。,資訊,https://its.sinica.edu.tw/pages/1684,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,宿舍網路,"資訊服務處於宿舍內提供有線網路服務，每戶提供1個IP位置及戶內既有之網點，無須額外付費。
若宿舍內需使用多個設備同時上網，請自備IP分享器及網路線。
各項宿舍網路異動請於一週前提出申請，申請表請至資訊服務處網頁點選下載專區之宿舍網路申請表下載填寫。",資訊,https://its.sinica.edu.tw/pages/4412,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,虛擬網路VPN連線服務,"中研院資訊服務處提供虛擬私有網路(VPN)遠端連線服務，以供同仁在院外透過VPN取得中研院IP位址，可持續進行學術研究工作或使用行政相關服務。首次使用需先完成VPN服務使用權限開通，並打開Google Authenticator掃描信中QR code即可完成驗證，取得動態密碼。使用者登入VPN時，需輸入gate電子郵件帳號、密碼，以及6位數動態密碼，方可登入。

若VPN服務在90天內沒有使用紀錄，系統將自動關閉，有需要使用可再次申請開通。連線使用說明請參考https://its.sinica.edu.tw/pages/1685。",資訊,https://its.sinica.edu.tw/pages/1685,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,計算服務,"資訊服務處提供多樣計算資源供中研院研究人員使用，包含高速運算(HPC)、容器運算服務(CCS)及虛擬運算服務(VCS)等計算服務。
助研究員及研究助技師以上人員，使用SSO帳號登入計算服務入口網站，進行雙重驗證設定後，權限為專案管理員，即可使用計算服務；非助研究員及研究助技師以上人員，須先登入系統完成雙重驗證後，由專案管理員將該人員加入專案後才可使用計算服務。詳細計算服務內容與介紹請參閱https://its.sinica.edu.tw/posts/119854。",資訊,https://its.sinica.edu.tw/posts/119854,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,主機備份服務,"資訊服務處提供主機備份服務，可對中研院重要的公共及研究計畫主機進行電腦檔案備份。助研究員以上、一級單位主管、院本部單位主管或單位資訊業務主管皆可申請。欲申請該服務，請至資訊服務處網頁點選下載專區之服務申請表單並下載主機備份服務申請表，填寫完畢後送至資訊服務處申請。

使用者可安裝備份軟體進行資料備份、主機檔案損壞還原、檔案回溯或回復誤刪檔案，並可保存備份檔案最近7日內的2個版本。主機備份服務需付費使用，每年的使用量為前一年度的5月1日至當年度4月30日之平均使用量。備份資料每年平均使用量5TB以上之所(中心)，將依使用量高低做分級進行費用分攤。詳細計價方式與服務內容，請參考https://its.sinica.edu.tw/pages/1687。
 ",資訊,https://its.sinica.edu.tw/pages/1687,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,GWS電子郵件及硬碟服務,"為提供本院同仁一個更便利的電子郵件暨雲端硬碟服務，自114年3月20日起，逐步將本院SSO Gate帳號導入GWS電子郵件暨雲端硬碟服務。
帳號申請
本服務依 中央研究院電子郵件服務規範 (https://www.sinica.edu.tw/CP/382) 提供服務。
個人帳號 –本院同仁於完成人事報到程序且到職日生效後，自動取得與本院SSO帳號名稱一致之GWS電子郵件暨雲端硬碟服務帳號。申請帳號後2小時洽詢各單位資訊室管理者完成綁定FIDO驗證，方能登入使用。
離職後無法使用本服務，正編退休人員請改用@alum服務。
業務帳號 -將於第二階段導入後開放申請。有需求請先申請原Gate電子郵件業務帳號服務。

登入、驗證及使用
快速登入網址如下：
        Mail：https://mail.sinica.edu.tw
        Drive：https://drive.sinica.edu.tw
操作及設定請參閱員工使用指引 – https://its.sinica.edu.tw/pages/4532
個人帳號 – 登入驗證方式與本院入口網（https://sso.sinica.edu.tw）相同。
業務帳號 - 將於第二階段導入後開放申請。如有需求請先申請原Gate電子郵件業務帳號服務。",資訊,https://its.sinica.edu.tw/posts/117170,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,業務用電子郵件服務,"中研院資訊服務處提供業務用Gate電子郵件帳號，供中研院同仁申請，用於處理公務或作為代表信箱。本服務預計於115年導入GWS服務。

申請業務用郵件帳號可透過全院電子表單整合平台進行線上申請，或填寫紙本申請單後送交至行政大樓4樓資訊服務處。詳細資訊請參閱https://its.sinica.edu.tw/posts/117175。",資訊,https://its.sinica.edu.tw/posts/117175,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,個人電子郵件服務,"GWS服務可使用Thunderbird、Windows Live Mail 2011、Microsoft Outlook、Android、MAC OSX、 iOS (iphone/ipad)等軟體來收發信件。
設定值快速一覽表：
    SMTP（外寄伺服器）： 伺服器為 smtp.gmail.com，使用 Port 465
    IMAP（內送伺服器，支援 SSL）： 伺服器為 imap.gmail.com，使用 Port 993
相關設定請參考：https://its.sinica.edu.tw/pages/4694",資訊,https://its.sinica.edu.tw/posts/117185,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,業務用電子郵件服務,"中研院業務電子郵件服務可使用Thunderbird、Windows Live Mail 2011、Microsoft Outlook、Android、MAC OSX、 iOS (iphone/ipad)等軟體來收發信件。

基本設定如下：帳號為您的業務帳號，密碼為您的業務密碼，SMTP(外寄伺服器)smtp.sinica.edu.tw，port:25；SMTP with TLS (外寄加密)：smtp.sinica.edu.tw，port:25；SMTPS (外寄加密)：smtp.sinica.edu.tw，port:25；POP(s) (pop內送伺服器)：gate.sinica.edu.tw，POP port:110，POPS port:995；IMAP(s) (imap內送伺服器):gate.sinica.edu.tw，IMAP port:143，IMAPS port:993。服務使用限制IMAP/POP3收信服務及SMTP寄信服務限中研院網路環境使用，若在院外有需要透過第三方收信軟體收發信件請連線VPN服務後使用，其他詳細設定請參考網站https://its.sinica.edu.tw/posts/117220。",資訊,https://its.sinica.edu.tw/posts/117185,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,電子郵件服務,"電子郵件提供垃圾信阻絕服務，用於阻擋垃圾與病毒郵件，阻絕設備有五項準則用於決定郵件是否放行，包括封鎖不明收件者、封鎖黑名單表列者、封鎖病毒信件、隔離已確認的垃圾信、放行被加標記的疑似垃圾信以及放行正常信件，已確認為垃圾信的郵件會被置放在阻絕設備的隔離區，使用者會收到當日的隔離通知信，內容記載每封垃圾信的日期、來源地址和主旨。使用者可以檢視隔離通知信的內容，以救回被誤判的正常信件、刪除垃圾信或設定黑白名單。

連線至信件隔離區首先要請您確認目前是位於中研院內網路環境，而有兩種方式您可以連線至信件隔離區，方法一打開垃圾隔離區摘要信件，點選看您所有的隔離信件或管理您的參數設定，會直接連結至隔離區；方法二若已經刪除所有垃圾隔離區摘要信件，請直接連線到網址https://fmail0.its.sinica.edu.tw。詳細說明請參考網站：https://its.sinica.edu.tw/posts/117204

隔離區中分為隔離區信件與參數選擇兩個項目，在隔離區信件中您可以使用寄送、白名單、刪除三種處理方式可以處理信件，寄送僅將該封信件寄送到個人信箱中，白名單會將該信件寄送到個人信箱中，並將這封信件的寄件者加入白名單中，刪除功能會將信件刪除，若不刪除隔離區信件系統會保留約30天，並自動刪除過多的垃圾信件。關於隔離區信件詳細說明請參考網站：https://its.sinica.edu.tw/posts/117205，參數選擇中有黑名單/白名單、隔離區設定、及啟用/停用垃圾郵件過濾功能，關於參數設定可以參考https://its.sinica.edu.tw/posts/117206，您可以按下右上角sign out可登出隔離區。",資訊,https://its.sinica.edu.tw/posts/117203,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,業務用電子郵件服務,"自113年4月23日起，Gate業務用電子郵件信箱之 Webmail 操作介面將全面「強制」啟用雙驗證功能，結合手機的OTP（One Time Password）機制，加強您電子郵件信箱的安全。

強制啟用OTP操作說明：登入程序完成帳密驗證後，畫面會顯示2維條碼，請於行動裝置下載安裝Google Authenticator APP後，掃描2維條碼，取得6位數動態認證碼。完成登入後，系統提供2種雙驗證使用方式，第一種方法是使用@Mail2000APP設定雙重驗證，第二種方法是維持Google Authenticator雙驗證，您可以依需求切換驗證方式。請注意，如發生無法收取驗證碼狀況，導致無法登入修改設定時，須本人或資訊室人員填寫服務洽詢單( https://8855.sinica.edu.tw )，由系統管理員協助設定與重新啟用，設定時間約0.5個「工作天」。請參考https://its.sinica.edu.tw/posts/117218 網站以了解更詳細的設定方式。",資訊,https://its.sinica.edu.tw/posts/117218,資訊服務處服務台 02-2789-8855
全院共用服務-網路資訊,業務用電子郵件服務,"使用中研院的Gate業務用電子郵件服務時，會收到電子郵件登入成功或登入失敗的訊息通知。如收到登入成功通知，請確認該時間點是否為本人登入行為；若您收到登入失敗通知，通常是一般駭客嘗試想要登入信箱所產生的，表示該嘗試登入並未成功，只要確認好您的帳號密碼強度夠強即可，並經常透過webmail ，點選個人設定，由信箱安全功能查閱登入紀錄來確認是否有意異常登入狀況。 

資訊處所提供的電子郵件服務，具備自動防禦暴力破解法功能，如單一登入位址(IP)反覆嘗試登入並且登入失敗，系統會自動阻擋該登入位址一段時間，以阻止該嘗試登入行為。 其他相關說明請參考https://its.sinica.edu.tw/posts/117228",資訊,https://its.sinica.edu.tw/posts/117228,資訊服務處服務台 02-2789-8855
全院共用服務-圖書資訊,文獻傳遞服務,資訊處提供之文獻傳遞服務，可向國外圖書館借閱或複印國內圖書館未收藏之館藏。本服務為付費使用，全年額度為25萬元，由資訊服務處負責支付。如超出額度，則由申請單位自行負擔相關費用。申請詳細說明與方式，請參考https://its.sinica.edu.tw/pages/1694,資訊,https://its.sinica.edu.tw/pages/1694,資訊服務處服務台 02-2789-8855
全院共用服務-圖書資訊,圖書館服務入口網站,中研院圖書館入口網站提供許多圖書相關服務和資源，包括資源查詢、文獻傳遞、研究成果展示、相關連結、圖書館簡介、館員專區及公告區。在資源查詢方面，讀者可以檢索館藏目錄、線上資料庫、電子期刊和開放獲取資源。文獻傳遞服務方便同仁申請所需文獻資料，研究成果展示則涵蓋機構典藏和數位典藏。而相關連結提供重要聯合書目目錄及常用程式下載。圖書館簡介介紹現況、各所圖書館首頁、開放時間及聯絡資訊。館員專區包含館際協調會、資料庫、自動化系統服務及編目標準參考資料（限中研院IP）。公告區則提供公告、新增試用資料庫及最新消息。,資訊,https://its.sinica.edu.tw/pages/1695,資訊服務處服務台 02-2789-8855
行政專用服務-行政資訊服務,行政業務電腦化系統,資訊服務處推動行政業務電腦化系統，旨為依據行政業務所需，開發專用或整合型之資訊系統，以協助促進行政工作的效能與維運，中研院同仁可透過中研院首頁( https://www.sinica.edu.tw )進入「中研院入口網」系統(https://sso.sinica.edu.tw/)，使用相關行政系統。,資訊,https://its.sinica.edu.tw/posts/117248,資訊服務處服務台 02-2789-8855
